0.8084730178568433,Community Support and Hope,Financial Concerns and Unemployment
0.8079135929809073,Impact on Business and Employees,Concerns about Medical Resources and Healthcare
0.807719815564777,Uncertainty about the Future,Personal Experiences and Challenges
0.8065593967584728,Financial Concerns and Unemployment,Personal Experiences and Challenges
0.8056436036083579,Impact on Business and Employees,Fear and Uncertainty about the Future
0.8035977000118858,Government and Medical System Response to Crisis,Panic Buying and Resource Scarcity
0.8030006868630573,Uncertainty about the Future,Impact on Business and Employees
0.8029314054968214,Impact on Specific Professions,Community Response to Crisis
0.802921414762198,Impact on Specific Professions,Housing Policies and Community Impact
0.8025827031433566,Impact on Specific Professions,Personal Experiences and Challenges
0.8024820491261434,Community Support and Hope,Frustration and Criticism of Leadership
0.8019409575384531,Community Support and Hope,Personal Care and Activities
0.80178331845599,Community Support and Hope,Impact on Business and Employees
0.8011041006404753,Financial Concerns and Unemployment,Community Response to Crisis
0.7999100847428826,Financial Concerns and Unemployment,Housing Policies and Community Impact
0.7995668963131327,Government and Medical System Response to Crisis,Fear and Uncertainty about the Future
0.7990807523985258,Concerns about Public Health and Safety,Panic Buying and Resource Scarcity
0.7990329868442662,Impact on Business and Employees,Frustration and Criticism of Leadership
0.7988974055269684,Personal Care and Activities,Concerns about Medical Resources and Healthcare
0.7988886725339306,Impact on Performers and Service Industry Workers,Fear and Uncertainty about the Future
0.7985741692824282,Impact on Performers and Service Industry Workers,Concerns about Medical Resources and Healthcare
0.7982000949489589,Impact on Business and Employees,Government and Medical System Response to Crisis
0.7980872716104316,Community Response to Crisis,Personal Experiences and Challenges
0.7976535475823789,Housing Policies and Community Impact,Concerns about Medical Resources and Healthcare
0.7966018269711138,Concerns about Medical Resources and Healthcare,Personal Experiences and Challenges
0.7965738914149891,Impact on Specific Professions,Concerns about Medical Resources and Healthcare
0.7955467905181762,Frustration and Criticism of Leadership,Panic Buying and Resource Scarcity
0.7951480424817418,Financial Concerns and Unemployment,Frustration and Criticism of Leadership
0.795132298679598,Frustration and Criticism of Leadership,Concerns about Medical Resources and Healthcare
0.7949065297957062,Impact on Performers and Service Industry Workers,Government and Medical System Response to Crisis
0.7943716105315709,Concerns about Public Health and Safety,Personal Experiences and Challenges
0.7943392003318404,Impact on Performers and Service Industry Workers,Community Support and Hope
0.7941175268419965,Impact on Business and Employees,Personal Experiences and Challenges
0.7940116109482113,Concerns about Public Health and Safety,Personal Care and Activities
0.7920173598742006,Concerns about Public Health and Safety,Impact on Specific Professions
0.7918294866400118,Government and Medical System Response to Crisis,Frustration and Criticism of Leadership
0.7916989295496526,Financial Concerns and Unemployment,Impact on Specific Professions
0.7916617641248919,Concerns about Public Health and Safety,Frustration and Criticism of Leadership
0.7895851934664129,Impact on Performers and Service Industry Workers,Personal Experiences and Challenges
0.788752266593009,Uncertainty about the Future,Community Response to Crisis
0.7881088659477221,Impact on Performers and Service Industry Workers,Uncertainty about the Future
0.7861098347614425,Financial Concerns and Unemployment,Government and Medical System Response to Crisis
0.7858637469250236,Impact on Specific Professions,Government and Medical System Response to Crisis
0.7850137724122926,Impact on Specific Professions,Uncertainty about the Future
0.7846867039941381,Impact on Specific Professions,Fear and Uncertainty about the Future
0.7840408092479859,Personal Experiences and Challenges,Panic Buying and Resource Scarcity
0.7839684967356287,Community Support and Hope,Panic Buying and Resource Scarcity
0.7825862881466589,Housing Policies and Community Impact,Fear and Uncertainty about the Future
0.7825480407555162,Impact on Business and Employees,Panic Buying and Resource Scarcity
0.7823012282259002,Housing Policies and Community Impact,Government and Medical System Response to Crisis
0.7817973229728252,Impact on Specific Professions,Frustration and Criticism of Leadership
0.7803110410654502,Uncertainty about the Future,Government and Medical System Response to Crisis
0.7797313992398511,Impact on Performers and Service Industry Workers,Personal Care and Activities
0.7791618138543542,Housing Policies and Community Impact,Personal Experiences and Challenges
0.7787605685380571,Impact on Performers and Service Industry Workers,Frustration and Criticism of Leadership
0.7780770451828088,Impact on Specific Professions,Personal Care and Activities
0.7779565191872799,Financial Concerns and Unemployment,Personal Care and Activities
0.7772380960233329,Impact on Performers and Service Industry Workers,Panic Buying and Resource Scarcity
0.7760710012778322,Not Grouped,Personal Care and Activities
0.7741265271560127,Personal Care and Activities,Housing Policies and Community Impact
0.7733807321262344,Community Support and Hope,Impact on Specific Professions
0.7725865455297337,Uncertainty about the Future,Housing Policies and Community Impact
0.771582360310422,Personal Care and Activities,Community Response to Crisis
0.7715001304332755,Government and Medical System Response to Crisis,Personal Experiences and Challenges
0.7709367740610498,Impact on Business and Employees,Personal Care and Activities
0.770572209905928,Personal Care and Activities,Fear and Uncertainty about the Future
0.769744022864567,Uncertainty about the Future,Personal Care and Activities
0.7680974772793401,Housing Policies and Community Impact,Frustration and Criticism of Leadership
0.765438995123623,Housing Policies and Community Impact,Panic Buying and Resource Scarcity
0.7651550768047655,Uncertainty about the Future,Not Grouped
0.7623752416075118,Community Support and Hope,Not Grouped
0.7591960471408558,Personal Care and Activities,Government and Medical System Response to Crisis
0.7581435516961225,Personal Care and Activities,Panic Buying and Resource Scarcity
0.7571698624349184,Impact on Specific Professions,Panic Buying and Resource Scarcity
0.7537554679056507,Personal Care and Activities,Frustration and Criticism of Leadership
0.7525629018134079,Not Grouped,Fear and Uncertainty about the Future
0.7517851395599725,Not Grouped,Frustration and Criticism of Leadership
0.7512114750520367,Financial Concerns and Unemployment,Not Grouped
0.748996702494652,Not Grouped,Personal Experiences and Challenges
0.7480851626244255,Not Grouped,Community Response to Crisis
0.7456469402145075,Not Grouped,Housing Policies and Community Impact
0.7451119711150829,Concerns about Public Health and Safety,Not Grouped
0.7439520765682681,Not Grouped,Government and Medical System Response to Crisis
0.7430744220420655,Impact on Performers and Service Industry Workers,Not Grouped
0.742961254730157,Not Grouped,Impact on Business and Employees
0.7405953367178961,Not Grouped,Panic Buying and Resource Scarcity
0.7346574128437293,Impact on Specific Professions,Not Grouped
0.7331329663958258,Not Grouped,Concerns about Medical Resources and Healthcare
